"module name","license","repository"
"@babel/code-frame@7.10.4","MIT","https://github.com/babel/babel"
"@babel/code-frame@7.12.11","MIT","https://github.com/babel/babel"
"@babel/code-frame@7.12.13","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.14.0","MIT","https://github.com/babel/babel"
"@babel/core@7.12.3","MIT","https://github.com/babel/babel"
"@babel/core@7.14.3","MIT","https://github.com/babel/babel"
"@babel/generator@7.14.3","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-builder-binary-assignment-operator-visitor@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.13.16","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.14.3","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.14.3","MIT","https://github.com/babel/babel"
"@babel/helper-define-polyfill-provider@0.2.1","MIT","https://github.com/babel/babel-polyfills"
"@babel/helper-explode-assignable-expression@7.13.0","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.14.2","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.13.16","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.13.12","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.13.12","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.14.2","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.13.0","MIT","https://github.com/babel/babel"
"@babel/helper-remap-async-to-generator@7.13.0","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.14.3","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.13.12","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.12.1","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.14.0","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.12.17","MIT","https://github.com/babel/babel"
"@babel/helper-wrap-function@7.13.0","MIT","https://github.com/babel/babel"
"@babel/helpers@7.14.0","MIT","https://github.com/babel/babel"
"@babel/highlight@7.14.0","MIT","https://github.com/babel/babel"
"@babel/parser@7.14.3","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.13.12","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-async-generator-functions@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-properties@7.12.1","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-properties@7.13.0","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-static-block@7.14.3","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-decorators@7.12.1","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-dynamic-import@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-export-namespace-from@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-json-strings@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-logical-assignment-operators@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-nullish-coalescing-operator@7.12.1","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-nullish-coalescing-operator@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-numeric-separator@7.12.1","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-numeric-separator@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-object-rest-spread@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-catch-binding@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-chaining@7.12.1","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-chaining@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-methods@7.13.0","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-property-in-object@7.14.0","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-unicode-property-regex@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-class-static-block@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-decorators@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"@babel/plugin-syntax-export-namespace-from@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from"
"@babel/plugin-syntax-flow@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-jsx@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-private-property-in-object@7.14.0","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-top-level-await@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-arrow-functions@7.13.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-async-to-generator@7.13.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoped-functions@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoping@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-classes@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-computed-properties@7.13.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-destructuring@7.13.17","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dotall-regex@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-keys@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-exponentiation-operator@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-flow-strip-types@7.12.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-for-of@7.13.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-function-name@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-literals@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-member-expression-literals@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-amd@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs@7.14.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-systemjs@7.13.8","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-umd@7.14.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-named-capturing-groups-regex@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-new-target@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-super@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-parameters@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-property-literals@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-constant-elements@7.13.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-display-name@7.12.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-display-name@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-development@7.12.17","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-self@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source@7.14.2","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx@7.14.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-pure-annotations@7.12.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regenerator@7.13.15","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-reserved-words@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-runtime@7.12.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-runtime@7.14.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-shorthand-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-spread@7.13.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-sticky-regex@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-template-literals@7.13.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typeof-symbol@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typescript@7.14.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-escapes@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-regex@7.12.13","MIT","https://github.com/babel/babel"
"@babel/preset-env@7.12.1","MIT","https://github.com/babel/babel"
"@babel/preset-env@7.14.2","MIT","https://github.com/babel/babel"
"@babel/preset-modules@0.1.4","MIT",""
"@babel/preset-react@7.12.1","MIT","https://github.com/babel/babel"
"@babel/preset-react@7.13.13","MIT","https://github.com/babel/babel"
"@babel/preset-typescript@7.12.1","MIT","https://github.com/babel/babel"
"@babel/runtime-corejs3@7.14.0","MIT","https://github.com/babel/babel"
"@babel/runtime@7.12.1","MIT","https://github.com/babel/babel"
"@babel/runtime@7.14.0","MIT","https://github.com/babel/babel"
"@babel/template@7.12.13","MIT","https://github.com/babel/babel"
"@babel/traverse@7.14.2","MIT","https://github.com/babel/babel"
"@babel/types@7.14.2","MIT","https://github.com/babel/babel"
"@bcoe/v8-coverage@0.2.3","MIT","https://github.com/demurgos/v8-coverage"
"@cnakazawa/watch@1.0.4","Apache-2.0","https://github.com/mikeal/watch"
"@csstools/convert-colors@1.4.0","CC0-1.0","https://github.com/jonathantneal/convert-colors"
"@csstools/normalize.css@10.1.0","CC0-1.0","https://github.com/csstools/normalize.css"
"@emotion/cache@10.0.29","MIT","https://github.com/emotion-js/emotion/tree/master/packages/cache"
"@emotion/core@10.1.1","MIT","https://github.com/emotion-js/emotion/tree/master/packages/core"
"@emotion/css@10.0.27","MIT","https://github.com/emotion-js/emotion/tree/master/packages/css"
"@emotion/hash@0.8.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/hash"
"@emotion/is-prop-valid@0.8.8","MIT","https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid"
"@emotion/memoize@0.7.4","MIT","https://github.com/emotion-js/emotion/tree/master/packages/memoize"
"@emotion/serialize@0.11.16","MIT","https://github.com/emotion-js/emotion/tree/master/packages/serialize"
"@emotion/sheet@0.9.4","MIT","https://github.com/emotion-js/emotion/tree/master/packages/sheet"
"@emotion/stylis@0.8.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/stylis"
"@emotion/unitless@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/unitless"
"@emotion/utils@0.11.3","MIT","https://github.com/emotion-js/emotion/tree/master/packages/serialize"
"@emotion/weak-memoize@0.2.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/weak-memoize"
"@eslint/eslintrc@0.4.1","MIT","https://github.com/eslint/eslintrc"
"@ethersproject/abi@5.2.0","MIT","https://github.com/ethers-io/ethers.js"
